run_id,issue_key,condition,generator_model,generator_temperature,summaries_incomplete,layer1_num_user_stories,layer1_well_formedness_rate,layer1_avg_acceptance_criteria,layer1_file_reference_specificity,layer1_inter_story_dependency_rate,layer1_dangling_dependency_count,layer2_total_references,layer2_unique_references,layer2_real_rate,layer2_ambiguous_rate,layer2_hallucinated_rate,layer2_count_real,layer2_count_ambiguous,layer2_count_hallucinated,layer2_tracked_paths_in_window
20260814T033139Z,PIG-704,full_rag_minus_past_tickets,gpt-4o,0.0,False,2,0.5,3,1.0,0.0,0,4,2,0.0,0.0,1.0,0,0,4,781
20260814T033139Z,PIG-704,full_rag_minus_design_documents,gpt-4o,0.0,False,3,0.3333,2,1.0,0.3333,0,6,4,0.0,0.0,1.0,0,0,6,781
20260814T033139Z,PIG-704,full_rag_minus_coding_conventions,gpt-4o,0.0,False,2,0.5,3,1.0,0.0,0,4,2,0.0,0.0,1.0,0,0,4,781
20260814T033139Z,PIG-704,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,2,0.5,3,1.0,0.0,0,4,2,0.0,0.0,1.0,0,0,4,781
20260814T033139Z,PIG-712,vanilla,gpt-4o,0.0,False,3,1.0,3,1.0,0.3333,0,4,2,0.25,0.0,0.75,1,0,3,817
20260814T033139Z,PIG-712,full_rag,gpt-4o,0.0,False,3,0.6667,3,1.0,0.3333,0,4,2,0.0,1.0,0.0,0,4,0,817
20260814T033139Z,PIG-712,full_rag_minus_past_tickets,gpt-4o,0.0,False,3,0.6667,3.6667,1.0,0.3333,0,4,2,0.0,1.0,0.0,0,4,0,817
20260814T033139Z,PIG-712,full_rag_minus_design_documents,gpt-4o,0.0,False,4,1.0,2.5,1.0,0.5,0,5,2,0.0,1.0,0.0,0,5,0,817
20260814T033139Z,PIG-712,full_rag_minus_coding_conventions,gpt-4o,0.0,False,4,1.0,2.5,1.0,0.5,0,5,2,0.0,1.0,0.0,0,5,0,817
20260814T033139Z,PIG-712,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,0.6667,3,1.0,0.6667,0,6,2,1.0,0.0,0.0,6,0,0,817
20260814T033139Z,PIG-713,vanilla,gpt-4o,0.0,False,3,1.0,2.3333,1.0,0.6667,0,6,4,0.0,0.0,1.0,0,0,6,784
20260814T033139Z,PIG-713,full_rag,gpt-4o,0.0,False,3,0.6667,2,1.0,0.0,0,4,2,0.0,1.0,0.0,0,4,0,784
20260814T033139Z,PIG-713,full_rag_minus_past_tickets,gpt-4o,0.0,False,3,1.0,2,1.0,0.6667,0,6,2,0.0,1.0,0.0,0,6,0,784
20260814T033139Z,PIG-713,full_rag_minus_design_documents,gpt-4o,0.0,False,3,1.0,2,1.0,0.3333,0,3,2,1.0,0.0,0.0,3,0,0,784
20260814T033139Z,PIG-713,full_rag_minus_coding_conventions,gpt-4o,0.0,False,3,0.3333,2,1.0,0.6667,0,4,2,0.0,1.0,0.0,0,4,0,784
20260814T033139Z,PIG-713,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,0.3333,2,1.0,0.0,0,5,4,0.0,0.0,1.0,0,0,5,784
20260814T033139Z,PIG-732,vanilla,gpt-4o,0.0,False,4,0.5,3,1.0,0.5,0,6,4,0.0,0.1667,0.8333,0,1,5,825
20260814T033139Z,PIG-732,full_rag,gpt-4o,0.0,False,2,1.0,4,1.0,0.0,0,4,4,0.0,0.5,0.5,0,2,2,825
20260814T033139Z,PIG-732,full_rag_minus_past_tickets,gpt-4o,0.0,False,2,1.0,3,1.0,0.0,0,4,4,0.0,0.25,0.75,0,1,3,825
20260814T033139Z,PIG-732,full_rag_minus_design_documents,gpt-4o,0.0,False,2,1.0,4,1.0,0.0,0,4,4,0.0,0.5,0.5,0,2,2,825
20260814T033139Z,PIG-732,full_rag_minus_coding_conventions,gpt-4o,0.0,False,2,1.0,4,1.0,0.0,0,4,4,0.0,0.25,0.75,0,1,3,825
20260814T033139Z,PIG-732,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,2,1.0,4,1.0,0.0,0,4,4,0.0,0.5,0.5,0,2,2,825
20260814T033139Z,PIG-741,vanilla,gpt-4o,0.0,False,4,1.0,2,1.0,0.75,0,4,4,0.0,0.25,0.75,0,1,3,823
20260814T033139Z,PIG-741,full_rag,gpt-4o,0.0,False,3,0.3333,2.6667,1.0,0.6667,0,3,3,0.0,0.0,1.0,0,0,3,823
20260814T033139Z,PIG-741,full_rag_minus_past_tickets,gpt-4o,0.0,False,3,1.0,3,1.0,0.6667,0,4,3,0.0,0.25,0.75,0,1,3,823
20260814T033139Z,PIG-741,full_rag_minus_design_documents,gpt-4o,0.0,False,3,0.3333,2.6667,1.0,0.6667,0,3,3,0.0,0.0,1.0,0,0,3,823
20260814T033139Z,PIG-741,full_rag_minus_coding_conventions,gpt-4o,0.0,False,3,0.6667,3,1.0,0.6667,0,5,5,0.0,0.2,0.8,0,1,4,823
20260814T033139Z,PIG-741,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,0.0,3,1.0,0.6667,0,5,5,0.0,0.4,0.6,0,2,3,823
20260814T033139Z,PIG-745,vanilla,gpt-4o,0.0,False,3,0.3333,3.6667,1.0,0.6667,0,3,2,0.0,0.0,1.0,0,0,3,791
20260814T033139Z,PIG-745,full_rag,gpt-4o,0.0,False,3,0.6667,3.3333,1.0,0.6667,0,4,3,0.0,0.5,0.5,0,2,2,791
20260814T033139Z,PIG-745,full_rag_minus_past_tickets,gpt-4o,0.0,False,3,0.6667,3.3333,1.0,0.6667,0,3,2,0.0,0.6667,0.3333,0,2,1,791
20260814T033139Z,PIG-745,full_rag_minus_design_documents,gpt-4o,0.0,False,3,0.6667,3.3333,1.0,0.6667,0,3,2,0.0,0.6667,0.3333,0,2,1,791
20260814T033139Z,PIG-745,full_rag_minus_coding_conventions,gpt-4o,0.0,False,3,0.3333,2.6667,1.0,0.6667,0,4,2,0.0,0.75,0.25,0,3,1,791
20260814T033139Z,PIG-745,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,1.0,3.3333,1.0,0.6667,0,3,2,0.0,0.0,1.0,0,0,3,791
20260814T033139Z,PIG-753,vanilla,gpt-4o,0.0,False,3,0.6667,2,1.0,0.6667,0,4,4,0.0,0.25,0.75,0,1,3,861
20260814T033139Z,PIG-753,full_rag,gpt-4o,0.0,False,3,0.6667,2.6667,1.0,0.6667,0,4,3,0.0,0.0,1.0,0,0,4,861
20260814T033139Z,PIG-753,full_rag_minus_past_tickets,gpt-4o,0.0,False,3,0.6667,2,1.0,0.6667,0,5,5,0.0,0.0,1.0,0,0,5,861
20260814T033139Z,PIG-753,full_rag_minus_design_documents,gpt-4o,0.0,False,3,1.0,3,1.0,0.6667,0,5,4,0.2,0.0,0.8,1,0,4,861
20260814T033139Z,PIG-753,full_rag_minus_coding_conventions,gpt-4o,0.0,False,3,1.0,3,1.0,0.6667,0,5,5,0.4,0.0,0.6,2,0,3,861
20260814T033139Z,PIG-753,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,1.0,2,1.0,0.6667,0,3,3,0.0,0.3333,0.6667,0,1,2,861
20260814T033139Z,PIG-781,vanilla,gpt-4o,0.0,False,4,1.0,2,1.0,0.75,0,8,8,0.0,0.0,1.0,0,0,8,823
20260814T033139Z,PIG-781,full_rag,gpt-4o,0.0,False,3,1.0,2,1.0,0.6667,0,3,3,0.0,0.6667,0.3333,0,2,1,823
20260814T033139Z,PIG-781,full_rag_minus_past_tickets,gpt-4o,0.0,False,5,1.0,2.6,1.0,0.2,0,5,3,0.0,0.6,0.4,0,3,2,823
20260814T033139Z,PIG-781,full_rag_minus_design_documents,gpt-4o,0.0,False,3,1.0,3,1.0,0.3333,0,6,6,0.0,0.6667,0.3333,0,4,2,823
20260814T033139Z,PIG-781,full_rag_minus_coding_conventions,gpt-4o,0.0,False,3,1.0,2,1.0,0.6667,0,3,3,0.0,0.6667,0.3333,0,2,1,823
20260814T033139Z,PIG-781,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,1.0,2,1.0,0.6667,0,6,6,0.0,0.6667,0.3333,0,4,2,823
20260814T033139Z,PIG-792,vanilla,gpt-4o,0.0,False,4,1.0,3,1.0,0.75,0,8,2,0.5,0.0,0.5,4,0,4,900
20260814T033139Z,PIG-792,full_rag,gpt-4o,0.0,False,4,0.5,2,1.0,0.5,0,4,3,0.0,0.75,0.25,0,3,1,900
20260814T033139Z,PIG-792,full_rag_minus_past_tickets,gpt-4o,0.0,False,3,0.6667,3,1.0,0.6667,0,3,3,0.3333,0.3333,0.3333,1,1,1,900
20260814T033139Z,PIG-792,full_rag_minus_design_documents,gpt-4o,0.0,False,3,0.0,3,1.0,0.3333,0,4,2,0.75,0.25,0.0,3,1,0,900
20260814T033139Z,PIG-792,full_rag_minus_coding_conventions,gpt-4o,0.0,False,4,0.75,3,1.0,0.5,0,5,2,0.6,0.4,0.0,3,2,0,900
20260814T033139Z,PIG-792,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,4,0.25,3,1.0,0.75,0,8,5,0.75,0.25,0.0,6,2,0,900
20260814T033139Z,PIG-795,vanilla,gpt-4o,0.0,False,4,1.0,2.75,1.0,0.75,0,6,5,0.0,0.0,1.0,0,0,6,820
20260814T033139Z,PIG-795,full_rag,gpt-4o,0.0,False,3,0.6667,2.6667,1.0,0.6667,0,6,6,0.0,0.3333,0.6667,0,2,4,820
20260814T033139Z,PIG-795,full_rag_minus_past_tickets,gpt-4o,0.0,False,4,0.0,3,1.0,0.75,0,6,6,0.3333,0.3333,0.3333,2,2,2,820
20260814T033139Z,PIG-795,full_rag_minus_design_documents,gpt-4o,0.0,False,3,1.0,3,1.0,0.6667,0,5,5,0.0,0.4,0.6,0,2,3,820
20260814T033139Z,PIG-795,full_rag_minus_coding_conventions,gpt-4o,0.0,False,3,0.3333,3,1.0,0.3333,0,5,3,0.6,0.4,0.0,3,2,0,820
20260814T033139Z,PIG-795,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,1.0,3,1.0,0.0,0,6,6,0.5,0.1667,0.3333,3,1,2,820
20260814T033139Z,PIG-820,vanilla,gpt-4o,0.0,False,3,0.3333,3,1.0,0.3333,0,3,3,0.0,1.0,0.0,0,3,0,878
20260814T033139Z,PIG-820,full_rag,gpt-4o,0.0,False,3,0.3333,2.6667,1.0,0.6667,0,4,3,0.5,0.25,0.25,2,1,1,878
20260814T033139Z,PIG-820,full_rag_minus_past_tickets,gpt-4o,0.0,False,3,0.3333,2,1.0,0.3333,0,4,4,0.0,0.75,0.25,0,3,1,878
20260814T033139Z,PIG-820,full_rag_minus_design_documents,gpt-4o,0.0,False,3,0.6667,3,1.0,0.6667,0,6,3,0.5,0.5,0.0,3,3,0,878
20260814T033139Z,PIG-820,full_rag_minus_coding_conventions,gpt-4o,0.0,False,4,1.0,2.5,1.0,0.5,0,5,3,0.4,0.6,0.0,2,3,0,878
20260814T033139Z,PIG-820,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,0.3333,2.6667,1.0,0.6667,0,5,4,0.4,0.6,0.0,2,3,0,878
20260814T033139Z,PIG-830,vanilla,gpt-4o,0.0,False,9,1.0,3,1.0,0.0,0,9,9,0.0,0.0,1.0,0,0,9,855
20260814T033139Z,PIG-830,full_rag,gpt-4o,0.0,False,3,0.6667,3,1.0,0.6667,0,3,2,0.0,0.0,1.0,0,0,3,855
20260814T033139Z,PIG-830,full_rag_minus_past_tickets,gpt-4o,0.0,False,4,0.75,3,1.0,0.75,0,4,1,0.0,0.0,1.0,0,0,4,855
20260814T033139Z,PIG-830,full_rag_minus_design_documents,gpt-4o,0.0,False,3,1.0,3,1.0,0.6667,0,3,3,0.0,0.0,1.0,0,0,3,855
20260814T033139Z,PIG-830,full_rag_minus_coding_conventions,gpt-4o,0.0,False,4,0.5,2.25,1.0,0.75,0,4,1,0.0,0.0,1.0,0,0,4,855
20260814T033139Z,PIG-830,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,1.0,2.3333,1.0,0.6667,0,3,2,0.0,0.0,1.0,0,0,3,855
20260814T033139Z,PIG-832,vanilla,gpt-4o,0.0,False,4,0.25,2,1.0,0.75,0,5,4,0.0,0.6,0.4,0,3,2,866
20260814T033139Z,PIG-832,full_rag,gpt-4o,0.0,False,3,0.3333,3,1.0,0.6667,0,6,3,0.1667,0.5,0.3333,1,3,2,866
20260814T033139Z,PIG-832,full_rag_minus_past_tickets,gpt-4o,0.0,False,3,0.6667,2.6667,1.0,0.6667,0,5,2,0.0,0.6,0.4,0,3,2,866
20260814T033139Z,PIG-832,full_rag_minus_design_documents,gpt-4o,0.0,False,3,1.0,3,1.0,0.6667,0,5,4,0.2,0.4,0.4,1,2,2,866
20260814T033139Z,PIG-832,full_rag_minus_coding_conventions,gpt-4o,0.0,False,3,1.0,2,1.0,0.3333,0,6,4,0.1667,0.5,0.3333,1,3,2,866
20260814T033139Z,PIG-832,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,4,0.75,3,1.0,0.25,0,5,3,0.6,0.4,0.0,3,2,0,866
20260814T033139Z,PIG-868,vanilla,gpt-4o,0.0,False,5,1.0,2.6,1.0,0.0,0,5,5,0.0,0.0,1.0,0,0,5,876
20260814T033139Z,PIG-868,full_rag,gpt-4o,0.0,False,5,1.0,2.2,0.2,0.0,0,1,1,0.0,1.0,0.0,0,1,0,876
20260814T033139Z,PIG-868,full_rag_minus_past_tickets,gpt-4o,0.0,False,5,1.0,2.2,1.0,0.0,0,5,5,0.0,0.2,0.8,0,1,4,876
20260814T033139Z,PIG-868,full_rag_minus_design_documents,gpt-4o,0.0,False,5,1.0,2.2,1.0,0.0,0,5,5,0.0,1.0,0.0,0,5,0,876
20260814T033139Z,PIG-868,full_rag_minus_coding_conventions,gpt-4o,0.0,False,5,1.0,2.2,1.0,0.0,0,5,5,0.0,1.0,0.0,0,5,0,876
20260814T033139Z,PIG-868,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,5,1.0,2.6,1.0,0.0,0,5,5,0.0,0.0,1.0,0,0,5,876
20260814T033139Z,PIG-885,vanilla,gpt-4o,0.0,False,6,1.0,2.1667,1.0,0.0,0,7,7,0.0,1.0,0.0,0,7,0,900
20260814T033139Z,PIG-885,full_rag,gpt-4o,0.0,False,6,1.0,3,1.0,0.0,0,6,6,0.0,0.0,1.0,0,0,6,900
20260814T033139Z,PIG-885,full_rag_minus_past_tickets,gpt-4o,0.0,False,6,1.0,3,1.0,0.0,0,6,6,0.0,0.0,1.0,0,0,6,900
20260814T033139Z,PIG-885,full_rag_minus_design_documents,gpt-4o,0.0,False,6,1.0,3,1.0,0.0,0,6,6,0.0,0.0,1.0,0,0,6,900
20260814T033139Z,PIG-885,full_rag_minus_coding_conventions,gpt-4o,0.0,False,6,1.0,2,1.0,0.0,0,6,6,0.0,0.0,1.0,0,0,6,900
20260814T033139Z,PIG-885,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,6,1.0,3,1.0,0.0,0,7,7,0.0,0.0,1.0,0,0,7,900
20260814T033139Z,PIG-893,vanilla,gpt-4o,0.0,False,5,1.0,2.8,1.0,0.0,0,5,1,0.0,0.0,1.0,0,0,5,1018
20260814T033139Z,PIG-893,full_rag,gpt-4o,0.0,False,5,1.0,2,1.0,0.0,0,10,2,0.0,0.5,0.5,0,5,5,1018
20260814T033139Z,PIG-893,full_rag_minus_past_tickets,gpt-4o,0.0,False,5,1.0,2,1.0,0.0,0,10,2,0.0,0.5,0.5,0,5,5,1018
20260814T033139Z,PIG-893,full_rag_minus_design_documents,gpt-4o,0.0,False,5,1.0,1.8,1.0,0.0,0,5,1,1.0,0.0,0.0,5,0,0,1018
20260814T033139Z,PIG-893,full_rag_minus_coding_conventions,gpt-4o,0.0,False,5,1.0,2,1.0,0.0,0,10,2,0.0,0.5,0.5,0,5,5,1018
20260814T033139Z,PIG-893,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,5,1.0,2,1.0,0.0,0,5,1,0.0,0.0,1.0,0,0,5,1018
20260814T033139Z,PIG-907,vanilla,gpt-4o,0.0,False,3,0.6667,3,1.0,0.3333,0,4,2,0.25,0.75,0.0,1,3,0,1024
20260814T033139Z,PIG-907,full_rag,gpt-4o,0.0,False,3,0.6667,3,1.0,0.3333,0,4,2,0.25,0.75,0.0,1,3,0,1024
20260814T033139Z,PIG-907,full_rag_minus_past_tickets,gpt-4o,0.0,False,3,0.6667,3,1.0,0.3333,0,4,2,0.25,0.75,0.0,1,3,0,1024
20260814T033139Z,PIG-907,full_rag_minus_design_documents,gpt-4o,0.0,False,3,0.3333,3,1.0,0.3333,0,4,2,0.25,0.75,0.0,1,3,0,1024
20260814T033139Z,PIG-907,full_rag_minus_coding_conventions,gpt-4o,0.0,False,3,1.0,3,1.0,0.3333,0,3,2,0.0,0.6667,0.3333,0,2,1,1024
20260814T033139Z,PIG-907,full_rag_minus_codebase_summaries,gpt-4o,0.0,False,3,1.0,3,1.0,0.3333,0,3,2,0.0,0.6667,0.3333,0,2,1,1024
